classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
legacy::lazystart::TrueExceptionLegacy2 ,1,1,0,1,0,0,0,0,3,1,8,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::bundlefile::ZipBundleEntry ,7,2,1,7,21,0,2,1,45,7,15,0,0,0,6,24,10,1,0,0,0,0,1
org::osgi::framework::BundleException ,20,1,20,0,6,1,2,0,13,4,18,1,0,0,4,5,4,2,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::SystemPolicy ,4,1,1,3,15,0,5,0,48,6,10,2,0,0,5,18,11,1,0,0,0,0,1
org::eclipse::osgi::framework::util::Headers ,11,1,6,5,210,1,4,0,103,21,0,4,2,0,19,49,31,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::PermissionAdminImpl ,23,1,4,20,91,0,6,0,318,14,12,1,0,0,5,120,69,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::InvalidVersion ,2,2,2,0,3,0,1,1,10,3,17,1,0,0,3,3,3,0,0,0,0,0,0
substitutes::y::My ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::ComputeNodeOrder ,2,1,1,1,1,0,0,0,47,2,7,0,1,0,1,18,8,0,0,0,0,0,0
org::eclipse::osgi::framework::util::KeyedHashSet ,13,1,7,6,231,0,5,0,285,22,7,2,3,2,17,70,82,0,0,0,0,0,0
chain::test::b::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::UserState ,5,2,1,4,6,0,1,2,33,4,97,1,0,0,4,22,11,1,0,0,0,0,1
org::eclipse::osgi::internal::signedcontent::SignedBundleHook ,27,1,5,26,105,0,26,0,203,15,19,21,0,0,13,99,56,2,0,0,0,0,1
org::eclipse::core::runtime::internal::adaptor::PluginConverterImpl ,26,1,2,24,666,0,38,0,610,37,9,23,30,1,6,397,165,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::HostSpecificationImpl ,10,3,5,5,36,0,2,0,33,9,45,2,0,0,7,18,18,1,0,0,0,0,1
org::osgi::framework::BundlePermission ,7,1,1,7,45,0,13,0,90,10,33,9,3,0,5,33,26,1,0,0,0,0,1
org::eclipse::osgi::internal::signedcontent::LegacyVerifierFactory ,4,1,1,3,1,0,1,0,10,2,8,1,0,0,2,6,2,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::GlobalPolicy ,5,1,1,4,6,0,1,0,38,4,10,1,0,0,4,17,9,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::BundleContextImpl ,35,1,8,29,595,0,12,0,654,35,26,3,1,2,20,220,149,4,0,0,0,0,1
legacy::lazystart::b::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::framework::debug::FrameworkDebugOptions ,14,1,7,7,45,0,4,0,108,10,11,4,5,0,5,63,29,0,0,0,0,0,0
org::eclipse::osgi::internal::module::ResolverConstraint ,11,1,5,8,190,3,4,0,97,20,7,2,0,0,4,37,36,0,0,0,0,0,0
org::eclipse::osgi::internal::module::MappedList ,3,1,2,1,21,1,1,0,44,7,7,0,1,0,5,26,13,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::protocol::URLStreamHandlerSetter ,1,1,1,0,1,0,1,0,6,2,8,0,0,0,2,3,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::SingleSourcePackage ,5,2,4,3,21,1,1,1,28,7,22,0,0,1,7,14,10,1,0,0,0,0,1
org::osgi::framework::FrameworkUtil ,8,1,8,0,1,0,0,0,4,2,7,0,1,0,1,3,2,2,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::ManifestLocalization ,12,1,1,12,28,0,4,0,134,8,7,4,5,0,1,63,40,2,0,0,0,0,1
org::eclipse::core::runtime::internal::adaptor::EclipseAdaptorHook ,19,1,0,19,78,0,8,0,124,13,17,6,3,0,10,85,30,3,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::Constants ,8,1,8,0,1,0,63,74,6,2,7,1,0,2,1,2,2,2,0,0,0,0,1
org::osgi::service::condpermadmin::BundleLocationCondition ,6,1,0,6,3,0,1,0,59,3,7,1,2,0,1,20,10,1,0,0,0,0,1
org::eclipse::osgi::internal::service::security::DefaultAuthorizationEngine ,17,2,3,15,21,0,18,0,77,7,11,14,1,0,5,36,26,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::SignedStorageHook ,23,2,3,20,190,0,10,0,209,20,21,7,4,1,16,108,54,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::FrameworkConsole ,21,1,2,21,120,0,16,0,208,16,15,0,5,2,8,82,40,3,0,0,0,0,1
org::eclipse::osgi::framework::internal::protocol::ContentHandlerProxy ,10,1,1,9,21,0,6,0,79,7,11,0,2,0,5,31,22,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::ResolverErrorImpl ,1,1,1,0,15,0,4,19,52,6,11,4,0,0,6,25,15,1,0,0,0,0,1
substitutes::y::Ky ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::osgi::framework::AdminPermission ,11,1,1,11,66,0,30,0,246,12,33,19,5,0,5,78,59,4,0,0,0,0,1
org::eclipse::osgi::internal::signedcontent::SignerInfoImpl ,7,1,4,3,28,0,3,0,45,8,11,3,0,0,7,16,16,0,0,0,0,0,0
org::eclipse::core::launcher::Main ,1,1,0,1,0,0,0,0,3,1,7,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::BaseData ,38,1,25,16,1225,1,20,5,248,50,33,16,3,0,47,114,86,3,0,0,0,0,1
osgi::lazystart::b::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::framework::adaptor::BundleProtectionDomain ,0,1,0,0,0,1,0,0,3,1,11,0,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::osgi::framework::adaptor::FilePath ,7,1,4,3,55,0,12,0,141,11,7,12,4,0,7,66,52,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::DevClassPathHelper ,8,1,4,4,6,0,3,0,25,4,7,3,1,0,3,10,5,0,0,0,0,0,0
osgi::lazystart::LazyExclude2 ,1,1,0,1,0,0,0,0,3,1,8,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::BaseAdaptor ,34,1,19,18,528,0,14,1,252,33,32,14,0,0,32,114,60,2,0,0,0,0,1
org::eclipse::osgi::internal::resolver::ImportPackageSpecificationImpl ,17,3,3,14,78,0,4,3,128,13,48,4,0,0,10,71,58,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::FilteredSourcePackage ,4,3,1,3,45,0,4,2,66,10,29,1,5,3,5,36,30,1,0,0,0,0,1
org::eclipse::osgi::internal::resolver::NativeCodeSpecificationImpl ,15,3,3,12,21,0,4,0,117,7,45,4,0,0,5,42,49,1,0,0,0,0,1
org::osgi::framework::BundleEvent ,27,1,27,0,3,0,13,0,11,3,15,2,0,0,3,3,3,1,0,0,0,0,1
org::eclipse::osgi::internal::baseadaptor::BundleUninstall ,4,1,1,4,6,0,2,0,21,4,10,2,0,0,4,10,4,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::NativeCodeDescriptionImpl ,14,2,5,9,190,0,9,0,142,20,25,9,1,0,11,57,40,2,0,0,0,0,1
org::eclipse::osgi::internal::baseadaptor::BaseStorage ,67,3,9,66,2016,0,38,0,1041,64,15,29,23,0,27,566,286,3,0,0,0,0,1
org::eclipse::osgi::framework::internal::protocol::bundleresource::Handler ,6,2,1,5,1,0,0,3,22,2,30,0,0,0,1,15,8,0,0,0,0,0,0
org::osgi::framework::Version ,29,1,26,3,55,1,6,0,130,11,7,5,1,0,10,40,32,1,0,0,0,0,1
xfriends::test2::Activator ,2,1,0,2,1,0,0,0,15,2,9,0,0,0,2,10,2,0,0,0,0,0,0
org::eclipse::osgi::storagemanager::ManagedOutputStream ,3,1,3,1,55,0,7,1,37,11,27,5,0,0,3,14,11,1,1,0,0,0,1
org::eclipse::osgi::baseadaptor::loader::ClasspathEntry ,7,1,6,1,10,0,3,0,24,5,7,3,0,0,5,8,7,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::Util ,5,1,2,3,10,0,0,0,99,5,7,0,0,0,5,31,29,0,0,0,0,0,0
osgi::lazystart::LazyInclude2 ,1,1,0,1,0,0,0,0,3,1,8,0,0,0,1,2,1,0,0,0,0,0,0
chain::test::a::AChain ,1,2,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::ReadOnlyState ,2,1,0,2,703,0,1,0,114,38,44,1,0,0,38,74,38,1,0,0,0,0,1
substitutes::y::Iy ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
client1::multiple::exports::Activator ,2,1,0,2,1,0,0,0,26,2,9,0,0,0,2,18,2,0,0,0,0,0,0
org::eclipse::osgi::internal::module::ResolverImport ,5,2,2,3,10,0,1,2,17,5,27,1,0,0,1,10,6,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::NullURLStreamHandlerService ,1,1,1,0,55,0,0,0,30,11,16,0,0,0,11,21,10,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::FilteredServiceListener ,11,2,0,11,3,0,5,0,54,3,15,5,0,0,2,27,19,1,0,0,0,0,1
org::eclipse::core::runtime::adaptor::EclipseLog ,24,1,2,22,406,0,25,1,424,29,13,3,5,3,7,205,91,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::StateManager ,12,1,4,8,190,1,18,0,114,20,22,11,4,7,16,66,36,1,0,0,0,0,1
org::eclipse::osgi::baseadaptor::HookRegistry ,28,1,18,10,253,0,16,0,144,23,7,11,4,0,19,77,38,0,0,0,0,0,0
org::eclipse::osgi::service::security::TrustEngine ,7,1,6,1,36,1,0,0,16,9,7,0,0,0,7,16,5,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundleLoaderProxy ,25,1,11,17,153,0,5,0,159,18,12,5,0,0,7,73,52,1,0,0,0,0,1
org::eclipse::osgi::util::ManifestElement ,26,1,19,7,153,0,4,0,257,18,7,0,4,0,11,128,72,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::RegisteredPolicy ,6,2,1,5,6,0,0,3,86,4,14,0,0,0,4,36,24,1,0,0,0,0,1
org::eclipse::osgi::framework::eventmgr::ListenerQueue ,9,1,4,5,6,0,3,0,47,4,7,2,0,0,4,17,10,1,0,0,0,0,1
org::eclipse::core::runtime::internal::adaptor::EclipseStorageHook ,29,2,2,28,741,0,19,0,367,39,22,17,9,0,29,217,102,3,0,0,0,0,1
org::osgi::service::url::AbstractURLStreamHandlerService ,2,1,0,2,45,0,1,0,28,10,25,0,0,0,9,19,9,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::OSGi ,7,1,4,3,28,0,1,0,31,8,7,0,0,0,6,18,8,1,0,0,0,0,1
test1::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
nativetest::a1::Activator ,4,1,0,4,1,0,0,0,9,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::SignedContentFile ,4,1,1,4,36,0,2,0,56,9,14,2,0,0,8,27,15,0,0,0,0,0,0
org::eclipse::equinox::launcher::JNIBridge ,4,1,2,2,105,0,2,0,94,15,7,2,8,0,7,41,19,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::MessageHelper ,9,1,3,6,3,0,0,0,28,3,7,0,1,0,2,26,8,0,0,0,0,0,0
substitutes::x::Bx ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ConditionalPermissions ,9,1,2,7,36,0,6,0,148,9,19,6,2,0,4,60,42,0,0,0,0,0,0
legacy::lazystart::c::excluded::b::CBExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0
org::eclipse::osgi::internal::module::GenericConstraint ,5,2,2,4,15,0,1,2,25,6,27,1,0,0,2,16,12,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::NullPackageSource ,2,2,1,1,28,0,1,1,31,8,22,0,1,1,7,12,10,1,0,0,0,0,1
org::eclipse::osgi::internal::resolver::StateImpl ,38,1,11,32,2016,2,24,0,705,64,44,22,11,1,39,385,211,8,0,0,0,0,1
org::eclipse::osgi::internal::service::security::KeyStoreTrustEngine ,11,2,3,9,120,0,5,0,177,16,16,5,8,0,6,101,42,0,0,0,0,0,0
org::osgi::service::condpermadmin::BundleSignerCondition ,4,1,0,4,1,0,1,0,13,2,7,1,1,0,1,9,5,1,0,0,0,0,1
chain::test::a::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundleFragment ,12,2,2,11,136,0,1,16,186,17,91,0,0,0,5,60,49,4,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::BundleURLConnection ,5,1,2,3,45,0,3,2,71,10,13,0,0,0,10,23,18,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::StreamHandlerFactory ,19,2,2,18,21,0,8,3,122,7,24,4,1,0,5,52,29,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::protocol::MultiplexingContentHandler ,3,1,1,3,1,0,2,0,11,2,8,2,0,0,2,5,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ParentPolicy ,0,1,0,0,3,0,0,0,12,3,10,0,0,0,3,3,3,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::Tokenizer ,5,1,3,2,15,0,3,0,95,6,7,0,1,0,5,17,27,0,0,0,0,0,0
org::eclipse::osgi::framework::eventmgr::ListElement ,2,1,2,0,0,0,2,0,4,1,7,0,0,2,0,1,1,0,0,0,0,0,0
org::eclipse::osgi::framework::eventmgr::EventManager ,7,1,5,3,6,0,4,0,39,4,7,1,0,0,2,10,9,2,0,0,0,0,1
legacy::lazystart::a::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::AdaptorMsg ,0,2,0,0,0,0,23,3,0,0,12,1,0,22,0,0,0,0,0,0,0,0,0
thread::locktest::Activator ,5,1,0,5,3,0,0,0,21,3,17,0,0,0,3,18,4,0,0,0,0,0,0
legacy::lazystart::FalseExceptionLegacy1 ,2,1,0,2,0,0,0,0,4,1,8,0,0,0,1,3,1,0,0,0,0,0,0
legacy::lazystart::c::excluded::a::CAExcluded ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::bundleentry::Handler ,5,2,1,5,1,0,0,3,11,2,30,0,0,0,1,8,3,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::CachedManifest ,10,1,1,10,36,0,2,0,107,9,0,2,0,0,9,78,39,0,0,0,0,0,0
org::eclipse::osgi::signedcontent::InvalidContentException ,2,1,2,0,3,0,2,0,10,3,19,2,0,0,3,4,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::FilterImpl ,18,1,4,14,406,0,15,0,1003,29,12,0,1,0,7,249,304,5,0,0,0,0,1
org::eclipse::osgi::internal::resolver::ExportPackageDescriptionImpl ,10,2,7,3,91,0,12,0,90,14,22,11,0,0,10,43,35,1,0,0,0,0,1
host::multiple::exports::PublicClass1 ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEngine ,7,1,3,4,10,1,3,0,20,5,7,3,1,0,3,16,6,1,0,0,0,0,1
org::eclipse::osgi::internal::signedcontent::DigestedInputStream ,7,1,1,6,21,0,5,0,57,7,26,5,1,0,5,21,17,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::StateBuilder ,29,1,1,29,276,0,13,0,516,24,7,9,22,0,0,337,168,2,0,0,0,0,1
org::eclipse::core::runtime::internal::stats::ClassStats ,3,1,2,2,190,0,11,0,64,20,7,11,0,0,20,24,20,0,0,0,0,0,0
host::multiple::exports::PrivateClass1 ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::BundleSpecificationImpl ,9,3,4,5,21,0,2,0,25,7,45,2,0,0,5,16,12,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::ConditionalPermissionAdminImpl ,14,1,2,14,28,0,8,0,116,8,12,4,1,0,6,61,29,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ReferenceInputStream ,4,1,3,1,3,0,1,0,9,3,21,0,0,0,3,4,3,0,0,0,0,0,0
osgi::lazystart::a::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::DNChainMatching ,6,1,2,4,28,0,0,0,262,8,7,0,7,0,1,101,66,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::EclipseAdaptorMsg ,0,2,0,0,0,0,76,3,0,0,12,1,0,74,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::BaseClassLoadingHook ,8,1,2,6,45,0,2,0,78,10,13,2,2,0,8,37,30,1,0,0,0,0,1
org::eclipse::osgi::baseadaptor::bundlefile::NestedDirBundleFile ,4,2,1,3,21,0,2,3,37,7,20,0,0,2,7,23,13,1,0,1,1,0,1
org::eclipse::osgi::framework::launcher::Launcher ,10,1,1,9,55,0,7,0,200,11,7,2,2,0,3,80,40,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::ServiceReferenceImpl ,13,2,5,9,91,0,1,0,116,14,13,0,1,1,9,43,36,1,0,0,0,0,1
org::eclipse::osgi::baseadaptor::bundlefile::FileBundleEntry ,3,2,1,2,21,0,2,1,26,7,15,1,0,1,6,12,7,0,0,0,0,0,0
fragment::test::attach::host::a::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::osgi::util::tracker::ServiceTracker ,23,1,14,10,120,0,12,0,285,16,10,7,1,2,14,65,67,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::BundleRepository ,7,1,3,5,15,0,3,0,111,6,7,3,0,0,6,39,26,1,0,0,0,0,1
org::eclipse::osgi::internal::module::ResolverBundle ,22,2,5,21,990,0,21,1,513,45,16,18,8,0,4,322,195,1,0,0,0,0,1
substitutes::x::Mx ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
substitutes::q::BFq ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::BaseStorageHook ,37,2,9,30,780,0,16,0,332,40,30,9,1,0,34,206,106,4,0,0,0,0,1
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ,9,2,1,9,15,0,1,8,122,6,19,0,0,1,5,34,20,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ,1,1,1,0,0,0,2,0,4,1,8,0,0,2,1,1,1,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ASTNode ,114,1,102,18,190,6,131,249,484,20,8,0,1,3,19,156,176,1,0,0,0,0,1
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ,5,6,1,4,10,0,0,61,33,5,207,0,0,0,4,18,12,0,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetParser ,23,2,1,22,820,0,7,416,673,41,8,0,2,7,1,174,115,0,0,0,0,0,0
org::eclipse::jdt::internal::formatter::Location ,2,1,1,1,1,0,12,0,16,2,8,0,0,12,2,4,2,0,0,0,0,0,0
org::eclipse::jdt::core::dom::SingleMemberAnnotation ,6,4,2,4,78,0,4,96,87,13,88,2,0,0,3,46,23,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::NLSTag ,2,1,2,0,1,0,4,0,9,2,8,0,0,4,2,2,2,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ,11,3,2,9,105,0,9,119,250,15,40,0,0,9,13,50,64,0,0,0,0,0,0
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ,4,3,3,1,6,1,3,3,9,4,17,0,0,1,3,5,3,0,0,0,0,0,0
org::eclipse::jdt::core::dom::MemberRef ,6,2,3,4,105,0,5,95,95,15,68,3,0,0,6,51,25,0,0,0,0,0,0
org::eclipse::jdt::internal::core::util::Annotation ,8,2,4,4,15,0,6,0,42,6,23,6,0,0,5,14,10,0,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ,5,7,1,4,3,0,0,397,42,3,124,0,0,0,3,22,14,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ,12,3,4,8,78,0,16,143,387,13,40,6,0,10,10,125,93,0,0,0,0,0,0
org::eclipse::jdt::internal::core::util::KeyKind ,1,2,1,0,136,0,15,2,53,17,41,1,0,1,17,18,19,0,0,0,0,0,0
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ,4,2,3,1,3,0,2,0,14,3,15,0,0,2,2,4,4,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ,63,3,36,33,351,2,30,391,624,27,42,0,1,26,25,172,148,3,0,0,0,0,1
org::eclipse::jdt::core::dom::ASTRequestor ,1,1,1,1,6,1,1,0,20,4,8,0,0,1,3,5,6,0,0,0,0,0,0
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ,1,2,1,0,1,2,0,5,0,2,19,0,0,0,2,2,0,0,0,0,0,0,0
org::eclipse::jdt::core::search::SearchPattern ,36,2,18,23,190,2,12,3,1126,20,13,2,6,0,14,244,276,1,0,0,0,0,1
org::eclipse::jdt::core::jdom::DOMFactory ,4,1,1,3,45,0,1,0,52,10,17,0,0,1,10,34,17,0,0,0,0,0,0
org::eclipse::jdt::internal::core::util::SignatureAttribute ,6,3,3,3,3,0,2,1,16,3,31,2,0,0,2,8,4,0,0,0,0,0,0
org::eclipse::jdt::internal::core::BinaryMember ,18,6,3,15,91,3,0,53,127,14,170,0,1,0,10,61,29,1,0,0,0,0,1
org::eclipse::jdt::internal::compiler::ast::MessageSend ,22,4,5,17,136,5,13,384,494,17,77,0,0,13,17,191,166,4,0,0,0,0,1
org::eclipse::jdt::internal::core::XMLWriter ,2,2,2,0,0,0,0,0,3,1,43,0,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::JavadocParser ,27,2,7,20,210,4,6,133,795,21,46,4,0,2,3,171,212,3,0,0,0,0,1
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ,21,7,1,20,55,0,2,448,591,11,115,0,0,2,11,220,156,2,0,0,0,0,1
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ,9,3,1,8,45,0,7,126,166,10,44,0,0,7,10,40,39,0,0,0,0,0,0
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ,3,1,0,3,45,0,4,0,144,10,8,0,3,4,7,40,37,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::Expression ,108,3,92,18,528,15,4,380,760,33,38,0,2,4,31,281,234,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ,5,3,3,3,10,1,1,13,35,5,55,0,0,0,1,12,13,0,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ConstantPool ,3,2,1,2,10,0,3,0,72,5,22,3,1,0,3,55,15,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ,7,6,5,3,15,2,2,385,52,6,95,0,0,2,5,17,12,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::impl::IntConstant ,5,2,5,0,66,0,16,152,55,12,41,15,1,1,11,14,27,0,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ,7,4,1,6,28,0,15,61,214,8,45,0,0,10,5,47,53,1,0,0,0,0,1
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,5,6,1,4,3,0,0,394,32,3,102,0,0,0,3,17,11,0,0,0,0,0,0
org::eclipse::jdt::core::dom::SuperFieldAccess ,5,3,1,5,105,0,5,95,96,15,73,3,0,0,6,51,25,0,0,0,0,0,0
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot ,6,5,1,5,78,0,1,62,56,13,202,0,0,0,8,22,20,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MethodScope ,55,3,44,15,105,0,12,274,378,15,103,0,2,12,11,93,110,1,1,0,0,0,1
org::eclipse::jdt::internal::compiler::CompilationResult ,31,1,24,7,190,0,24,0,245,20,8,3,3,21,17,72,72,1,0,0,0,0,1
org::eclipse::jdt::internal::core::util::KeyToSignature ,5,2,2,3,300,0,13,2,258,25,41,8,1,1,24,130,56,0,0,0,0,0,0
org::eclipse::jdt::internal::core::jdom::DOMType ,14,4,4,11,703,0,14,50,419,38,185,0,0,0,20,162,94,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ForStatement ,11,3,0,11,15,0,11,380,343,6,38,2,0,9,6,106,91,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding ,3,5,1,2,10,0,0,58,34,5,179,0,0,0,4,12,7,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::TrueLiteral ,3,6,1,2,21,0,1,384,39,7,79,0,0,0,7,14,11,0,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 ,1,7,1,0,15,0,1,419,21,6,118,1,0,0,6,10,6,0,0,0,0,0,0
org::eclipse::jdt::internal::formatter::FormatJavadocText ,6,2,3,4,136,0,7,119,197,17,16,1,1,6,7,54,68,0,0,0,0,0,0
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo ,1,4,1,0,0,0,0,7,0,1,28,0,0,0,1,1,0,0,0,0,0,0,0
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader ,5,1,2,3,55,2,7,0,81,11,28,7,0,0,5,29,21,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation ,6,5,4,2,10,1,1,388,45,5,78,0,0,1,5,13,16,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding ,55,4,32,32,1275,1,15,49,1461,51,148,8,2,7,43,446,456,6,0,1,0,0,1
org::eclipse::jdt::internal::core::SetContainerOperation ,14,3,1,13,15,0,3,19,167,6,67,0,4,3,1,51,36,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding ,13,1,8,6,45,1,2,0,151,10,8,0,3,2,6,53,53,0,0,0,0,0,0
org::eclipse::jdt::internal::core::LRUCacheEnumerator ,1,1,1,0,3,0,1,0,11,3,8,0,0,0,3,3,3,0,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaModelInfo ,3,3,1,2,3,0,1,3,27,3,17,0,1,1,1,7,8,0,0,0,0,0,0
